price,floors_in_the_house,floor,house_type,number_of_rooms,total_area,deadline,distance_to_nearest_metro,distance_to_center,distance_to_mkad,distance_to_green_areas,distance_to_sports_complexes,distance_to_industrial_enterprises,distance_to_treatment_facilities
12765368,24,14,монолитный ,3-комнатные ,84.8,2 кв. 2021 года ,1100,10993,-4375,2526,1278,217,10552
12734660,24,12,монолитный ,3-комнатные ,83.1,2 кв. 2021 года ,1100,10993,-4375,2526,1278,217,10552
12821855,24,18,монолитный ,3-комнатные ,81.9,4 кв. 2020 года ,1200,11207,-4139,2906,1572,210,10166
13177138,12,2,монолитный ,3-комнатные ,91.4,2 кв. 2021 года ,1200,11166,-4191,2695,1473,231,10353
6853860,26,1,монолитный ,3-комнатные ,58,2 кв. 2021 года ,2300,12346,-3344,2884,1285,3225,7228
16607590,24,2,монолитный ,3-комнатные ,97.4,сдан ,1600,15016,2873,808,957,1230,3695
22365555,58,37,монолитный ,3-комнатные ,107,сдан ,800,9614,-6739,618,661,1490,6290
23217000,20,16,монолитный ,3-комнатные ,113.6,сдан ,800,10931,-5359,322,1118,645,4914
38356008,28,27,монолитный ,3-комнатные ,111.8,сдан ,500,7886,-9490,1132,1006,833,7390
33973106,28,23,монолитный ,3-комнатные ,110.9,сдан ,500,7886,-9490,1132,1006,833,7390
15408800,33,19,монолитный ,3-комнатные ,82.4,3 кв. 2021 года ,400,5859,-8866,2531,1119,524,8901
39552611,28,27,монолитный ,3-комнатные ,130.1,сдан ,500,7886,-9490,1132,1006,833,7390
45255753,28,28,монолитный ,3-комнатные ,120.6,сдан ,500,7886,-9490,1132,1006,833,7390
33095280,28,21,монолитный ,3-комнатные ,109.5,сдан ,500,7886,-9490,1132,1006,833,7390
52414800,22,22,монолитный ,3-комнатные ,140.9,сдан ,500,7886,-9490,1132,1006,833,7390
40815760,27,24,монолитный ,3-комнатные ,116.8,1 кв. 2021 года ,1500,11722,-4474,1585,997,1225,6078
15259262,24,2,монолитный ,3-комнатные ,89.5,сдан ,1700,15148,2752,787,831,1107,3727
18883800,26,22,монолитный ,3-комнатные ,70.2,1 кв. 2021 года ,1500,11693,-4467,1671,972,1281,6167
36241263,12,11,монолитный ,3-комнатные ,137.7,сдан ,500,7886,-9490,1132,1006,833,7390
29424672,20,4,монолитный ,3-комнатные ,106.5,сдан ,2100,10904,-4789,1136,432,611,4018
